Assists,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts On Target,Attempts Outside the Penalty Area,Corners,Goals,Headed Attempts at Goal,Off-Target Attempts,Possession Control (%),Rank,Team,xG,xG Efficiency,Category,Crosses,Crossing Accuracy (%),Defensive Linebreaks Acc (%),Defensive Linebreaks Attempted,Passes,Passing Accuracy (%),Switches of Play Acc (%),Switches of Play Attempted,Ball Recovery Time (s),Defensive Pressures Applied,Defensive Pressures Directly Applied,Forced Turnovers,Goals Conceded,Own Goals,Fouls Against,Fouls For,Indirect Red Cards,Offsides,Red Cards,Yellow Cards,Clean Sheets,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Goalkeeper Save Percentage (%),Goalkeeper Saves,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Offers To Receive,Receptions Between Midfield And Defensive Line,Receptions In Behind,Receptions Under Pressure,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
,,,,,,,,,,,37,Australia,,,Distribution,47,28,50,50,1127,81,56,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38,Czechia,,,Distribution,50,32,38,45,1102,79,75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Haiti,,,Distribution,42,24,40,42,1098,85,100,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,40,Congo DR,,,Distribution,48,25,31,51,1078,81,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41,Cabo Verde,,,Distribution,32,28,34,44,1064,80,65,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,42,Uzbekistan,,,Distribution,34,18,27,51,1059,78,76,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43,IR Iran,,,Distribution,40,23,46,50,1051,77,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,44,Tunisia,,,Distribution,35,23,38,40,1011,80,71,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,45,Ghana,,,Distribution,33,24,51,45,1007,84,88,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,46,Curaçao,,,Distribution,21,29,40,40,968,80,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,47,Jordan,,,Distribution,31,32,52,52,914,76,73,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,48,Qatar,,,Distribution,28,36,27,71,912,78,91,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,Qatar,,,Defending,,,,,,,,,60.48,832,122,101,10,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Egypt,,,Defending,,,,,,,,,43.68,676,143,155,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Paraguay,,,Defending,,,,,,,,,68.31,1421,275,209,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Jordan,,,Defending,,,,,,,,,68.21,1148,166,139,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Morocco,,,Defending,,,,,,,,,56.05,961,218,180,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Saudi Arabia,,,Defending,,,,,,,,,53.18,1035,140,128,5,1,,,,,,,,,,,,,,,,,,,,,,,,
